"BirdID","site","Overlap.mn","Overlap.sd"
4,1,0.38326518284607,0.100915977451975
5,1,0.680599410131149,0.451673520225909
6,1,0.677655024408991,0.455586007474998
15,4,0.810281480266116,0.261064915051102
17,4,0.734581983300733,0.37287091266806
19,5,0.770000690625321,0.161511868531302
21,5,0.827161837082259,0.212539682624903
22,5,0.667642125617824,0.285285906224449
32,2,0.640160655221767,0.455649903533302
52,5,0.629667300830756,0.523542240888458
