"fit","se.fit","Distance.st","area.st","Distance","Area","Area.rd","SeUp","SeLo","pred.rel","upr.rel","lwr.rel","pred","upr","lwr"
0.597903759616966,0.0346528604075664,-1.08912254945073,-1.0065,0,1.50009118073886,1.5,0.665823366015796,0.529984153218136,0.64517657316042,0.660567311074435,0.629479415949529,1,1.10602516945623,0.891863940341005
0.59395897786865,0.034594081629545,-1.07912254945073,-1.0065,1.12908101324197,1.50009118073886,1.5,0.661763377862558,0.526154577874741,0.644273002585928,0.659656395512063,0.628585782617711,0.993775397657249,1.09974996826703,0.885707794614454
0.590002033564883,0.0345320855548498,-1.06912254945073,-1.0065,2.25816202648396,1.50009118073886,1.5,0.657684921252389,0.522319145877377,0.643365612288478,0.658740146542943,0.627689900080113,0.987524481646108,1.09343802580152,0.87953615434663
0.586033403752105,0.034466925607744,-1.05912254945073,-1.0065,3.38724303972593,1.50009118073886,1.5,0.653588577943283,0.518478229560926,0.642454507666198,0.657818684256542,0.626791856691968,0.98124797804314,1.08709016934336,0.873349628207398
0.582053571443393,0.0343986572023324,-1.04912254945073,-1.0065,4.51632405296792,1.50009118073886,1.5,0.649474939559964,0.514632203326821,0.641539796083437,0.656892131750823,0.625891741697074,0.974946626470028,1.08070724690145,0.867148830987864
0.578063025397032,0.0343273376770421,-1.03912254945073,-1.0065,5.64540506620989,1.50009118073886,1.5,0.645344607244035,0.51078144355003,0.640621586825996,0.655960615070163,0.624989645204701,0.968621179785126,1.07429012678219,0.860934383441293
0.574062259888931,0.0342530262253662,-1.02912254945073,-1.0065,6.77448607945186,1.50009118073886,1.5,0.641198191290649,0.506926328487213,0.639699991054202,0.655024263139061,0.624085658166446,0.962272403760184,1.06783969713285,0.85470691212363
0.570051774479086,0.0341757838229517,-1.01912254945073,-1.0065,7.90356709269385,1.50009118073886,1.5,0.637036310772071,0.5030672381861,0.63877512175386,0.654083207691688,0.623179872353036,0.955901076742501,1.06135686545624,0.848467049233727
0.566032073772326,0.0340956731511262,-1.00912254945073,-1.0065,9.03264810593582,1.50009118073886,1.5,0.632859593148533,0.499204554396118,0.637847093685137,0.653137583197333,0.62227238033111,0.949507989302758,1.05484255809709,0.842215432453401
0.562003667173558,0.0340127585169678,-0.999122549450733,-1.0065,10.1617291191778,1.50009118073886,1.5,0.628668673866814,0.495338660480301,0.636916023329404,0.652187526781778,0.621363275439988,0.94309394386882,1.04829771970046,0.835952704787367
0.557967068637759,0.0339271057700343,-0.989122549450733,-1.0065,11.2908101324198,1.50009118073886,1.5,0.624464195947027,0.491469941328492,0.635982028834083,0.651233178144704,0.620452651768424,0.93665975434582,1.04172331264269,0.82967951440314
0.553922796414968,0.0338387822158783,-0.979122549450733,-1.0065,12.4198911456617,1.50009118073886,1.5,0.620246809558089,0.487598783271846,0.635045229955563,0.650274679473182,0.619540604131373,0.930206245722881,1.03512031643553,0.823396514470922
0.549871372790521,0.0337478565264869,-0.969122549450733,-1.0065,13.5489721589037,1.50009118073886,1.5,0.616017171582435,0.483725573998606,0.63410574800022,0.649312175351351,0.618627228046746,0.923734253666829,1.02848972710384,0.817104363003535
0.545813323820828,0.0336543986477952,-0.959122549450733,-1.0065,14.6780531721457,1.50009118073886,1.5,0.611775945170507,0.47985070247115,0.633163705763612,0.648345812666381,0.617712619712184,0.917244624103304,1.02183255653785,0.810803722696371
0.54174917906494,0.0335584797044332,-0.949122549450733,-1.0065,15.8071341853877,1.50009118073886,1.5,0.607523799285629,0.475974558844251,0.632219227467904,0.647375740510836,0.616796875981826,0.910738212785688,1.01514983182048,0.80449526076738
0.537679471312203,0.0334601719018775,-0.939122549450733,-1.0065,16.9362151986297,1.50009118073886,1.5,0.603261408239883,0.472097534384523,0.631272438697587,0.646402110081545,0.615880094343084,0.904215884852293,1.00844259453075,0.798179648797044
0.533604736306297,0.0333595484261899,-0.929122549450733,-1.0065,18.0652962118716,1.50009118073886,1.5,0.598989451221629,0.468220021390965,0.630323466333566,0.645425074575135,0.614962372893395,0.897678514372288,1.00171190002406,0.791857562568272
0.529525512465951,0.0332566833415332,-0.919122549450733,-1.0065,19.1943772251136,1.50009118073886,1.5,0.594708611815357,0.464342413116546,0.629372438485683,0.64444478908035,0.614043810316974,0.891126983880846,0.994958816690383,0.785529681906193
0.525442340602642,0.033151651485668,-0.909122549450733,-1.0065,20.3234582383556,1.50009118073886,1.5,0.590419577514552,0.460465103690733,0.628419484423746,0.643461410467315,0.613124505861511,0.884562183904044,0.988184425191471,0.77919669051768
0.521355763635592,0.0330445283636404,-0.899122549450733,-1.0065,21.4525392515976,1.50009118073886,1.5,0.586123039228327,0.456588488042856,0.627464734507155,0.642475097273909,0.612204559314835,0.877985012474035,0.981389817678042,0.772859275830551
0.517266326304376,0.032935390039883,-0.889122549450733,-1.0065,22.5816202648395,1.50009118073886,1.5,0.581819690782547,0.452712961826206,0.626508320113197,0.641486009589418,0.611284070981495,0.871396374635075,0.974576096988291,0.766518128832266
0.513174574879473,0.0328243130289571,-0.879122549450733,-1.0065,23.7107012780815,1.50009118073886,1.5,0.577510228416229,0.448838921342718,0.625550373564088,0.640494308935644,0.610363141659257,0.86479718194095,0.967744375828873,0.760173943907994
0.509081056871068,0.0327113741851765,-0.869122549450733,-1.0065,24.8397822913235,1.50009118073886,1.5,0.573195350274014,0.444966763468122,0.624591028052863,0.63950015814567,0.609441872615473,0.858188351944436,0.960895775939714,0.753827418677843
